ISA,Custom Extensions,Processor,Manufacturer,Core Platform,Sources,Die Photo,Example Board
RV32IMAC, ,[FE310](https://static.dev.sifive.com/SiFive-E310-G000-manual-v1.0.1.pdf),[SiFive](https://www.sifive.com/),[SiFive E31](https://static.dev.sifive.com/SiFive-E310-G000-manual-v1.0.1.pdf),[Rocket](https://github.com/chipsalliance/rocket-chip), ,[HiFive 1 Rev B](https://www.sifive.com/boards/hifive1-rev-b)
RV32IMAC, ,[GD32VF103](https://www.gigadevice.com/products/microcontrollers/gd32/risc-v/mainstream-line/gd32vf103-series/),[GigaDevice](https://www.gigadevice.com),[Nuclei Bumblebee N200](https://doc.nucleisys.com/nuclei_spec/),[Nuclei](https://doc.nucleisys.com/nuclei_spec/), ,[Sipeed Longan Nano](https://www.seeedstudio.com/Sipeed-Longan-Nano-V1-1-p-5118.html)
RV32IMC,:heavy_check_mark:,[GAP8](https://greenwaves-technologies.com/gap8_mcu_ai/),[GreenWaves](https://greenwaves-technologies.com),[PULP](https://pulp-platform.org/),[Wiki](https://greenwaves-technologies.com/manuals/BUILD/HOME/html/index.html), ,[GAPuino](https://greenwaves-technologies.com/product/gapuino/)
RV32IMC,:heavy_check_mark:,[GAP9](https://greenwaves-technologies.com/gap9_processor/),[GreenWaves](https://greenwaves-technologies.com),[PULP](https://pulp-platform.org/),[Wiki](https://greenwaves-technologies.com/manuals/BUILD/HOME/html/index.html), ,[GAP9 EVK](https://greenwaves-technologies.com/product/gap9_evk-gap9-evaluation-kit-efused/)
RV32I+V, ,[RH850/U2B](https://www.renesas.com/us/en/products/microcontrollers-microprocessors/rh850-automotive-mcus/rh850u2b-zonedomain-and-vehicle-motion-microcontroller),[Renesas](https://www.renesas.com),[DENSO DR1000C](https://www.nsitexe.com/en/ip-solutions/data-flow-processor/DR1000C/),Closed, , 
RV32IMC,:heavy_check_mark:,[R9A02G020](https://www.renesas.com/eu/en/products/microcontrollers-microprocessors/risc-v/r9a02g020-assp-easy-mcu-motor-control-based-risc-v),[Renesas](https://www.renesas.com),[AndesCore N22](http://www.andestech.com/en/products-solutions/andescore-processors/riscv-n22/),Closed, ,[R9A02G020-EVK](https://www.renesas.com/eu/en/products/microcontrollers-microprocessors/risc-v/r9a02g020-evk-r9a02g020-assp-easy-motor-control-kit)
RV32IMC, ,[ESP32-C3](https://www.espressif.com/en/products/socs/esp32-c3),[Espressif](https://www.espressif.com),Unknown,Closed, ,"[1](https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-C3-DevKitM-1), [2](https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html), [3](https://www.sparkfun.com/products/18036), ..."
RV32IMC, ,[ESP32-C2](https://www.espressif.com/en/products/socs/esp32-c2),[Espressif](https://www.espressif.com),Unknown,Closed,[pic](https://blog.espressif.com/esp32-c2-and-why-it-matter-s-bcf4d7d0b2c6), 
RV32IMAC, ,[ESP32-C6](https://www.espressif.com/en/products/socs/esp32-c6),[Espressif](https://www.espressif.com),Unknown,Closed, , 
RV32IM,,Hi3861 (discontinued),[HiSilicon](https://www.hisilicon.com/),Unknown,Closed, ,[Hi3861](https://github.com/koendv/hi3861_notes)
RV32GC+P,:heavy_check_mark:,[BL616/BL618](https://bbs.bouffalolab.com/t/bl616-zh) ([discontinued?](https://en.bouffalolab.com/product/?type=detail&id=25)),[Bouffalo Lab](https://en.bouffalolab.com/),Unknown,Closed, ,[Sipeed M0S](https://wiki.sipeed.com/hardware/en/maixzero/m0s/m0s.html)
RV32IMAFC,,[BL602/BL604](https://en.bouffalolab.com/product/?type=detail&id=1),[Bouffalo Lab](https://en.bouffalolab.com/),[SiFive E24](https://sifive-china.oss-cn-zhangjiakou.aliyuncs.com/Standard%20Core%20IP/e24_core_complex_manual_21G2.pdf),Closed, ,[Pinecone](https://pine64.com/product/pinecone-bl602-evaluation-board/)
RV32?,,[AB32VG1](https://gitee.com/bluetrum/AB32VG1_DOC/tree/master),[Bluetrum](http://www.bluetrum.com/product/ab5301a.html),Unknown,Closed,[AB32VG1](https://www.aliexpress.com/w/wholesale-AB32VG1.html),
RV32IMAC+F,,[CH583/CH582/CH581](https://www.wch.cn/products/CH583.html),[WCH](https://www.wch-ic.com/),Unknown,Closed,[CH583M](https://www.aliexpress.us/item/3256803740383596.html),
...,...,...,...,...,..., , 
RV64GC, ,[JH7100](https://www.starfivetech.com/en/site/soc),[StarFive](https://www.starfivetech.com),[SiFive U74](https://www.sifive.com/cores/u74),[Rocket](https://github.com/chipsalliance/rocket-chip) + [BOOM](https://github.com/riscv-boom/riscv-boom), ,[VisionFive](https://www.starfivetech.com/en/site/boards)
RV64GC,:grey_question:,[JH7110](https://doc-en.rvspace.org/JH7110/TRM/JH7110_DS/highlighted_features.html),[StarFive](https://www.starfivetech.com),[SiFive U74](https://www.sifive.com/cores/u74),[Rocket](https://github.com/chipsalliance/rocket-chip) + [BOOM](https://github.com/riscv-boom/riscv-boom), ,[Pine64 Star64](https://wiki.pine64.org/wiki/STAR64)
RV64GC+V, ,[Alibaba T-Head TH1520](https://www.alibabacloud.com/blog/alibaba-cloud-unveils-chip-development-platform-to-support-developers-with-risc-v-based-high-performance-socs_599265),[XuanTie](https://www.xrvm.com/product/xuantie/4224884581230252032),[XuanTie C910](https://www.xrvm.com/product/xuantie/C910),[C910](https://github.com/T-head-Semi/openc910), ,[BeagleV®-Ahead](https://www.beagleboard.org/boards/beaglev-ahead)
